"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Flushing","Iopamidol","Flushing","潮红","Vascular disorders","血管与淋巴管类疾病","52","52","2745","98155","19805527","2797","98207","19906479","3.82","2.91","5.03","3.77","106.3","1.91","1.63","13.7988","3.67","2.08","1","1","1","1","1","1","3.82 (2.91, 5.03)"
"VESSEL PUNCTURE SITE DISCHARGE","Ioversol","VESSEL PUNCTURE SITE DISCHARGE","血管穿刺部位分泌物","General disorders and administration site conditions","全身性疾病及给药部位各种反应","3","3","3269","1","19903206","3272","4","19906479","18265.41","1899.4","175647.95","18248.66","13685","12.16","9.85","0.0007","6.99","2.37","1","1","1","1","1","1","18,265.41 (1,899.40, 175,647.95)"
"Air embolism","Ioversol","Air embolism","空气栓塞","Vascular disorders","血管与淋巴管类疾病","48","48","3224","407","19902800","3272","455","19906479","728.06","538.76","983.86","717.39","30717.03","9.33","9.02","0.0748","84.38","47.63","1","1","1","1","1","1","728.06 (538.76, 983.86)"
"Contrast encephalopathy","Ioversol","Contrast encephalopathy","造影剂脑病","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","16","16","3256","214","19902993","3272","230","19906479","457.03","274.68","760.43","454.8","6740.85","8.73","8.21","0.0378","30.68","15.81","1","1","1","1","1","1","457.03 (274.68, 760.43)"
"Laryngeal discomfort","Ioversol","Laryngeal discomfort","喉部不适","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","25","25","3247","575","19902632","3272","600","19906479","266.5","178.3","398.33","264.47","6288.7","7.99","7.58","0.0986","42.6","23.02","1","1","1","1","1","1","266.50 (178.30, 398.33)"
"PHARYNGOLARYNGEAL DISCOMFORT","Ioversol","PHARYNGOLARYNGEAL DISCOMFORT",,,,"3","3","3269","100","19903107","3272","103","19906479","182.65","57.89","576.26","182.49","525.71","7.47","6.3","0.0169","6.77","2.29","1","1","1","1","1","1","182.65 (57.89, 576.26)"
"CONTRAST MEDIA REACTION","Ioversol","CONTRAST MEDIA REACTION","造影剂反应","Immune system disorders","免疫系统疾病","62","62","3210","2196","19901011","3272","2258","19906479","175.04","135.67","225.83","171.74","10236.37","7.38","7.12","0.3711","71.74","40.96","1","1","1","1","1","1","175.04 (135.67, 225.83)"
"CORONARY ARTERY PERFORATION","Ioversol","CORONARY ARTERY PERFORATION","冠状动脉穿孔","Cardiac disorders","心脏器官疾病","3","3","3269","118","19903089","3272","121","19906479","154.79","49.19","487.11","154.65","446.62","7.24","6.07","0.0199","6.73","2.28","1","1","1","1","1","1","154.79 (49.19, 487.11)"
"Primary hypothyroidism","Ioversol","Primary hypothyroidism","原发性甲状腺功能减退症","Endocrine disorders","内分泌系统疾病","4","4","3268","182","19903025","3272","186","19906479","133.85","49.67","360.7","133.69","515.47","7.03","6.02","0.0306","8.48","3.2","1","1","1","1","1","1","133.85 (49.67, 360.70)"
"NEPHROPATHY TOXIC","Ioversol","NEPHROPATHY TOXIC","中毒性肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","179","179","3093","10225","19892982","3272","10404","19906479","112.59","96.72","131.07","106.49","18392.78","6.71","6.55","1.7101","81.22","47.59","1","1","1","1","1","1","112.59 (96.72, 131.07)"
"Post procedural hypothyroidism","Ioversol","Post procedural hypothyroidism","操作后甲状腺功能减退症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","3","3","3269","197","19903010","3272","200","19906479","92.72","29.63","290.11","92.63","267.85","6.51","5.35","0.0329","6.57","2.22","1","1","1","1","1","1","92.72 (29.63, 290.11)"
"Contrast media allergy","Ioversol","Contrast media allergy","造影剂过敏","Immune system disorders","免疫系统疾病","21","21","3251","1568","19901639","3272","1589","19906479","81.99","53.23","126.28","81.47","1647.14","6.33","5.89","0.2612","28.25","15.01","1","1","1","1","1","1","81.99 (53.23, 126.28)"
"Oral pruritus","Ioversol","Oral pruritus","口腔瘙痒","Gastrointestinal disorders","胃肠系统疾病","28","28","3244","2124","19901083","3272","2152","19906479","80.87","55.61","117.6","80.19","2161.38","6.31","5.92","0.3537","33.38","18.21","1","1","1","1","1","1","80.87 (55.61, 117.60)"
"Anaphylactoid shock","Ioversol","Anaphylactoid shock","类过敏性休克","Immune system disorders","免疫系统疾病","6","6","3266","455","19902752","3272","461","19906479","80.36","35.89","179.95","80.21","463.26","6.31","5.48","0.0758","11.29","4.83","1","1","1","1","1","1","80.36 (35.89, 179.95)"
"SEPTIC ARTHRITIS STAPHYLOCOCCAL","Ioversol","SEPTIC ARTHRITIS STAPHYLOCOCCAL","葡萄球菌性脓毒性关节炎","Infections and infestations","感染及侵染类疾病","4","4","3268","333","19902874","3272","337","19906479","73.16","27.28","196.18","73.07","280.96","6.17","5.17","0.0554","8.1","3.06","1","1","1","1","1","1","73.16 (27.28, 196.18)"
"SNEEZING","Ioversol","SNEEZING","喷嚏","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","200","200","3072","20971","19882236","3272","21171","19906479","61.72","53.46","71.26","58.01","11111.88","5.84","5.7","3.4798","50.38","29.56","1","1","1","1","1","1","61.72 (53.46, 71.26)"
"Type I hypersensitivity","Ioversol","Type I hypersensitivity","I型超敏反应","Immune system disorders","免疫系统疾病","31","31","3241","3116","19900091","3272","3147","19906479","61.09","42.81","87.16","60.52","1796.93","5.91","5.54","0.5173","30.97","17.02","1","1","1","1","1","1","61.09 (42.81, 87.16)"
"Laryngeal oedema","Ioversol","Laryngeal oedema","喉水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","54","54","3218","5821","19897386","3272","5875","19906479","57.36","43.78","75.15","56.43","2913.98","5.81","5.53","0.9657","37.18","21.11","1","1","1","1","1","1","57.36 (43.78, 75.15)"
"PHARYNGEAL HYPOAESTHESIA","Ioversol","PHARYNGEAL HYPOAESTHESIA","咽感觉减退","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","7","7","3265","877","19902330","3272","884","19906479","48.65","23.11","102.44","48.55","323.44","5.59","4.83","0.1453","11.62","5.17","1","1","1","1","1","1","48.65 (23.11, 102.44)"
"TONGUE PRURITUS","Ioversol","TONGUE PRURITUS","舌痒","Gastrointestinal disorders","胃肠系统疾病","6","6","3266","755","19902452","3272","761","19906479","48.43","21.67","108.22","48.34","275.99","5.58","4.76","0.1251","10.4","4.45","1","1","1","1","1","1","48.43 (21.67, 108.22)"
"Blood pressure immeasurable","Ioversol","Blood pressure immeasurable","血压不可测","Investigations","各类检查","11","11","3261","1469","19901738","3272","1480","19906479","45.7","25.23","82.79","45.55","475.76","5.5","4.89","0.2433","15.47","7.54","1","1","1","1","1","1","45.70 (25.23, 82.79)"
"Anaphylactic shock","Ioversol","Anaphylactic shock","过敏性休克","Immune system disorders","免疫系统疾病","169","169","3103","23938","19879269","3272","24107","19906479","45.23","38.72","52.83","42.94","6883.37","5.41","5.26","3.9624","37.98","22.24","1","1","1","1","1","1","45.23 (38.72, 52.83)"
"Extravasation","Ioversol","Extravasation","外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","29","29","3243","3937","19899270","3272","3966","19906479","45.2","31.32","65.23","44.81","1233.2","5.48","5.1","0.6519","25.61","14.01","1","1","1","1","1","1","45.20 (31.32, 65.23)"
"Anal sphincter atony","Ioversol","Anal sphincter atony","肛门括约肌张力缺乏","Gastrointestinal disorders","胃肠系统疾病","3","3","3269","418","19902789","3272","421","19906479","43.7","14.03","136.11","43.66","124.15","5.44","4.28","0.0692","6.15","2.08","1","1","1","1","1","1","43.70 (14.03, 136.11)"
"ANAPHYLACTOID REACTION","Ioversol","ANAPHYLACTOID REACTION","类过敏反应","Immune system disorders","免疫系统疾病","28","28","3244","3935","19899272","3272","3963","19906479","43.65","30.05","63.4","43.28","1148.64","5.43","5.04","0.6514","24.75","13.5","1","1","1","1","1","1","43.65 (30.05, 63.40)"
"CARDIAC PROCEDURE COMPLICATION","Ioversol","CARDIAC PROCEDURE COMPLICATION","心脏操作并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","4","4","3268","602","19902605","3272","606","19906479","40.47","15.13","108.24","40.42","152.76","5.33","4.32","0.0996","7.5","2.84","1","1","1","1","1","1","40.47 (15.13, 108.24)"
"NO REACTION ON PREVIOUS EXPOSURE TO DRUG","Ioversol","NO REACTION ON PREVIOUS EXPOSURE TO DRUG","既往对药物暴露无反应","General disorders and administration site conditions","全身性疾病及给药部位各种反应","3","3","3269","515","19902692","3272","518","19906479","35.47","11.39","110.39","35.43","99.81","5.14","3.98","0.0851","5.98","2.03","1","1","1","1","1","1","35.47 (11.39, 110.39)"
"Throat tightness","Ioversol","Throat tightness","咽喉缩紧感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","133","133","3139","25549","19877658","3272","25682","19906479","32.96","27.7","39.23","31.67","3934.34","4.98","4.8","4.2213","28.28","16.49","1","1","1","1","1","1","32.96 (27.70, 39.23)"
"FOAMING AT MOUTH","Ioversol","FOAMING AT MOUTH","口吐白沫","General disorders and administration site conditions","全身性疾病及给药部位各种反应","10","10","3262","1923","19901284","3272","1933","19906479","31.73","17.03","59.12","31.63","295.13","4.98","4.34","0.3177","12.84","6.15","1","1","1","1","1","1","31.73 (17.03, 59.12)"
"Throat irritation","Ioversol","Throat irritation","咽喉刺激","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","204","204","3068","41960","19861247","3272","42164","19906479","31.47","27.31","36.28","29.57","5616.56","4.88","4.73","6.9304","27.52","16.15","1","1","1","1","1","1","31.47 (27.31, 36.28)"
"INJECTION SITE OEDEMA","Ioversol","INJECTION SITE OEDEMA","注射部位水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","8","8","3264","1631","19901576","3272","1639","19906479","29.91","14.92","59.96","29.84","221.89","4.89","4.18","0.2694","11.05","5.06","1","1","1","1","1","1","29.91 (14.92, 59.96)"
"ELECTROMECHANICAL DISSOCIATION","Ioversol","ELECTROMECHANICAL DISSOCIATION",,,,"4","4","3268","827","19902380","3272","831","19906479","29.46","11.02","78.72","29.42","109.3","4.87","3.87","0.1366","7.07","2.67","1","1","1","1","1","1","29.46 (11.02, 78.72)"
"BRONCHOSPASM","Ioversol","BRONCHOSPASM","支气管痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","58","58","3214","13664","19889543","3272","13722","19906479","26.27","20.25","34.08","25.82","1378.92","4.68","4.42","2.2555","21.23","12.09","1","1","1","1","1","1","26.27 (20.25, 34.08)"
"Pharyngeal oedema","Ioversol","Pharyngeal oedema","咽部水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","63","63","3209","15179","19888028","3272","15242","19906479","25.72","20.04","33.02","25.25","1462.1","4.65","4.4","2.5053","21.13","12.07","1","1","1","1","1","1","25.72 (20.04, 33.02)"
"Papule","Ioversol","Papule","丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","26","26","3246","6486","19896721","3272","6512","19906479","24.57","16.69","36.17","24.38","580.91","4.6","4.21","1.0704","16.88","9.15","1","1","1","1","1","1","24.57 (16.69, 36.17)"
"URTICARIA","Ioversol","URTICARIA","荨麻疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","528","528","2744","155506","19747701","3272","156034","19906479","24.44","22.26","26.82","20.65","9919.02","4.36","4.27","25.6471","20.21","11.96","1","1","1","1","1","1","24.44 (22.26, 26.82)"
"HYPERAEMIA","Ioversol","HYPERAEMIA","充血","Vascular disorders","血管与淋巴管类疾病","7","7","3265","1868","19901339","3272","1875","19906479","22.84","10.87","48.02","22.79","145.34","4.51","3.75","0.3082","9.28","4.13","1","1","1","1","1","1","22.84 (10.87, 48.02)"
"Cyanosis","Ioversol","Cyanosis","发绀","Vascular disorders","血管与淋巴管类疾病","54","54","3218","15093","19888114","3272","15147","19906479","22.11","16.89","28.95","21.76","1066.71","4.44","4.16","2.4897","18.23","10.35","1","1","1","1","1","1","22.11 (16.89, 28.95)"
"Eyelid oedema","Ioversol","Eyelid oedema","眼睑水肿","Eye disorders","眼器官疾病","40","40","3232","11340","19891867","3272","11380","19906479","21.71","15.89","29.67","21.46","777.82","4.42","4.1","1.8705","17.08","9.55","1","1","1","1","1","1","21.71 (15.89, 29.67)"
"PROCEDURAL COMPLICATION","Ioversol","PROCEDURAL COMPLICATION","操作并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","25","25","3247","7427","19895780","3272","7452","19906479","20.63","13.91","30.59","20.48","461.73","4.35","3.95","1.2249","14.78","7.99","1","1","1","1","1","1","20.63 (13.91, 30.59)"
"Tongue oedema","Ioversol","Tongue oedema","舌水肿","Gastrointestinal disorders","胃肠系统疾病","12","12","3260","3656","19899551","3272","3668","19906479","20.04","11.36","35.35","19.97","215.52","4.31","3.74","0.6029","11.33","5.6","1","1","1","1","1","1","20.04 (11.36, 35.35)"
"COMPARTMENT SYNDROME","Ioversol","COMPARTMENT SYNDROME","骨筋膜室综合征","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","8","8","3264","2507","19900700","3272","2515","19906479","19.46","9.71","38.98","19.41","139.27","4.27","3.57","0.4134","9.31","4.26","1","1","1","1","1","1","19.46 (9.71, 38.98)"
"Acute generalised exanthematous pustulosis","Ioversol","Acute generalised exanthematous pustulosis","急性泛发性发疹性脓疱病","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","23","23","3249","7264","19895943","3272","7287","19906479","19.39","12.86","29.24","19.26","397.07","4.26","3.84","1.1978","13.84","7.42","1","1","1","1","1","1","19.39 (12.86, 29.24)"
"SIALOADENITIS","Ioversol","SIALOADENITIS","涎腺炎","Infections and infestations","感染及侵染类疾病","4","4","3268","1262","19901945","3272","1266","19906479","19.3","7.23","51.54","19.28","69.11","4.26","3.26","0.2081","6.36","2.4","1","1","1","1","1","1","19.30 (7.23, 51.54)"
"IATROGENIC INJURY","Ioversol","IATROGENIC INJURY","医源性损伤","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","4","4","3268","1268","19901939","3272","1272","19906479","19.21","7.19","51.3","19.19","68.75","4.26","3.26","0.2091","6.35","2.4","1","1","1","1","1","1","19.21 (7.19, 51.30)"
"ELECTROCARDIOGRAM ST SEGMENT ELEVATION","Ioversol","ELECTROCARDIOGRAM ST SEGMENT ELEVATION","心电图ST段抬高","Investigations","各类检查","10","10","3262","3206","19900001","3272","3216","19906479","19.03","10.22","35.43","18.97","169.76","4.24","3.61","0.5286","10.21","4.89","1","1","1","1","1","1","19.03 (10.22, 35.43)"
"Ear pruritus","Ioversol","Ear pruritus","耳瘙痒","Ear and labyrinth disorders","耳及迷路类疾病","9","9","3263","3182","19900025","3272","3191","19906479","17.25","8.96","33.21","17.2","137","4.1","3.43","0.5245","9.27","4.35","1","1","1","1","1","1","17.25 (8.96, 33.21)"
"Injection site extravasation","Ioversol","Injection site extravasation","注射部位外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","34","34","3238","12123","19891084","3272","12157","19906479","17.23","12.28","24.17","17.06","512.91","4.09","3.74","1.9982","13.81","7.64","1","1","1","1","1","1","17.23 (12.28, 24.17)"
"PARAESTHESIA ORAL","Ioversol","PARAESTHESIA ORAL","口部异常感觉","Gastrointestinal disorders","胃肠系统疾病","36","36","3236","13551","19889656","3272","13587","19906479","16.33","11.75","22.69","16.16","510.98","4.01","3.68","2.2333","13.35","7.42","1","1","1","1","1","1","16.33 (11.75, 22.69)"
"PERIORBITAL OEDEMA","Ioversol","PERIORBITAL OEDEMA","眼眶周围水肿","Eye disorders","眼器官疾病","13","13","3259","4902","19898305","3272","4915","19906479","16.19","9.38","27.94","16.13","184.08","4.01","3.45","0.8079","10.32","5.17","1","1","1","1","1","1","16.19 (9.38, 27.94)"
"EYE PRURITUS","Ioversol","EYE PRURITUS","眼睛瘙痒","Eye disorders","眼器官疾病","78","78","3194","30221","19872986","3272","30299","19906479","16.06","12.82","20.11","15.7","1072.43","3.97","3.74","4.9802","14.32","8.24","1","1","1","1","1","1","16.06 (12.82, 20.11)"
"Face oedema","Ioversol","Face oedema","面部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","41","41","3231","16226","19886981","3272","16267","19906479","15.55","11.43","21.17","15.37","549.91","3.94","3.62","2.6738","13.08","7.32","1","1","1","1","1","1","15.55 (11.43, 21.17)"
"Shock","Ioversol","Shock","休克","Vascular disorders","血管与淋巴管类疾病","53","53","3219","21463","19881744","3272","21516","19906479","15.25","11.62","20.01","15.02","692.67","3.91","3.63","3.5366","13.25","7.52","1","1","1","1","1","1","15.25 (11.62, 20.01)"
"ACCIDENTAL EXPOSURE","Ioversol","ACCIDENTAL EXPOSURE",,,,"10","10","3262","4149","19899058","3272","4159","19906479","14.7","7.9","27.37","14.66","127.01","3.87","3.24","0.6836","8.87","4.25","1","1","1","1","1","1","14.70 (7.90, 27.37)"
"HYPOAESTHESIA ORAL","Ioversol","HYPOAESTHESIA ORAL","口腔感觉减退","Gastrointestinal disorders","胃肠系统疾病","33","33","3239","14348","19888859","3272","14381","19906479","14.12","10.02","19.91","13.99","397.42","3.8","3.45","2.3638","11.7","6.46","1","1","1","1","1","1","14.12 (10.02, 19.91)"
"LARYNGOSPASM","Ioversol","LARYNGOSPASM","喉痉挛","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","6","6","3266","2602","19900605","3272","2608","19906479","14.05","6.3","31.33","14.03","72.43","3.81","2.99","0.4287","7","2.99","1","1","1","1","1","1","14.05 (6.30, 31.33)"
"GENERALISED ERYTHEMA","Ioversol","GENERALISED ERYTHEMA",,,,"13","13","3259","5677","19897530","3272","5690","19906479","13.98","8.1","24.12","13.93","155.7","3.8","3.24","0.9353","9.41","4.71","1","1","1","1","1","1","13.98 (8.10, 24.12)"
"OROPHARYNGEAL DISCOMFORT","Ioversol","OROPHARYNGEAL DISCOMFORT","口咽不适感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","18","18","3254","8276","19894931","3272","8294","19906479","13.3","8.36","21.14","13.23","203.14","3.72","3.25","1.3633","9.93","5.19","1","1","1","1","1","1","13.30 (8.36, 21.14)"
"PULSE ABSENT","Ioversol","PULSE ABSENT","脉搏消失","Investigations","各类检查","10","10","3262","4612","19898595","3272","4622","19906479","13.23","7.11","24.62","13.19","112.43","3.72","3.08","0.7597","8.34","3.99","1","1","1","1","1","1","13.23 (7.11, 24.62)"
"Oedema mouth","Ioversol","Oedema mouth","口水肿","Gastrointestinal disorders","胃肠系统疾病","7","7","3265","3236","19899971","3272","3243","19906479","13.18","6.28","27.7","13.16","78.48","3.72","2.96","0.533","7.26","3.23","1","1","1","1","1","1","13.18 (6.28, 27.70)"
"Ventricular fibrillation","Ioversol","Ventricular fibrillation","室颤","Cardiac disorders","心脏器官疾病","22","22","3250","10582","19892625","3272","10604","19906479","12.73","8.36","19.36","12.65","235.59","3.66","3.23","1.743","10.03","5.36","1","1","1","1","1","1","12.73 (8.36, 19.36)"
"INJECTION SITE NECROSIS","Ioversol","INJECTION SITE NECROSIS","注射部位坏死","General disorders and administration site conditions","全身性疾病及给药部位各种反应","4","4","3268","1972","19901235","3272","1976","19906479","12.35","4.63","32.96","12.34","41.6","3.62","2.62","0.3248","5.46","2.06","1","1","1","1","1","1","12.35 (4.63, 32.96)"
"Localised oedema","Ioversol","Localised oedema","局部水肿","General disorders and administration site conditions","全身性疾病及给药部位各种反应","9","9","3263","4448","19898759","3272","4457","19906479","12.34","6.41","23.75","12.31","93.34","3.62","2.95","0.7326","7.71","3.62","1","1","1","1","1","1","12.34 (6.41, 23.75)"
"LIP OEDEMA","Ioversol","LIP OEDEMA","唇部水肿","Gastrointestinal disorders","胃肠系统疾病","8","8","3264","4025","19899182","3272","4033","19906479","12.12","6.05","24.27","12.09","81.24","3.59","2.88","0.6629","7.31","3.35","1","1","1","1","1","1","12.12 (6.05, 24.27)"
"ANAPHYLACTIC REACTION","Ioversol","ANAPHYLACTIC REACTION","速发严重过敏反应","Immune system disorders","免疫系统疾病","94","94","3178","51317","19851890","3272","51411","19906479","11.44","9.32","14.05","11.14","868.47","3.48","3.27","8.4504","10.56","6.11","1","1","1","1","1","1","11.44 (9.32, 14.05)"
"EYE SWELLING","Ioversol","EYE SWELLING","眼肿","Eye disorders","眼器官疾病","63","63","3209","35176","19868031","3272","35239","19906479","11.09","8.64","14.23","10.89","566.12","3.44","3.19","5.7922","10.09","5.76","1","1","1","1","1","1","11.09 (8.64, 14.23)"
"INJECTION SITE VESICLES","Ioversol","INJECTION SITE VESICLES","注射部位囊泡","General disorders and administration site conditions","全身性疾病及给药部位各种反应","10","10","3262","5601","19897606","3272","5611","19906479","10.89","5.85","20.27","10.86","89.39","3.44","2.8","0.9223","7.38","3.54","1","1","1","1","1","1","10.89 (5.85, 20.27)"
"DRUG ADMINISTRATION ERROR","Ioversol","DRUG ADMINISTRATION ERROR",,,,"52","52","3220","30639","19872568","3272","30691","19906479","10.47","7.96","13.78","10.32","437.81","3.37","3.09","5.0446","9.47","5.37","1","1","1","1","1","1","10.47 (7.96, 13.78)"
"CHEST DISCOMFORT","Ioversol","CHEST DISCOMFORT","胸部不适","General disorders and administration site conditions","全身性疾病及给药部位各种反应","157","157","3115","96203","19807004","3272","96360","19906479","10.38","8.84","12.18","9.93","1264.43","3.31","3.15","15.8386","9.64","5.64","1","1","1","1","1","1","10.38 (8.84, 12.18)"
"Nephropathy","Ioversol","Nephropathy","肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","15","15","3257","8979","19894228","3272","8994","19906479","10.2","6.14","16.95","10.16","123.75","3.34","2.82","1.4783","7.83","4","1","1","1","1","1","1","10.20 (6.14, 16.95)"
"OXYGEN SATURATION DECREASED","Ioversol","OXYGEN SATURATION DECREASED","血氧饱和度降低","Investigations","各类检查","82","82","3190","52283","19850924","3272","52365","19906479","9.76","7.84","12.15","9.54","627.57","3.25","3.03","8.6072","9.06","5.22","1","1","1","1","1","1","9.76 (7.84, 12.15)"
"RASH MACULO-PAPULAR","Ioversol","RASH MACULO-PAPULAR","斑丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","33","33","3239","20908","19882299","3272","20941","19906479","9.69","6.87","13.66","9.6","254.13","3.26","2.91","3.442","8.5","4.69","1","1","1","1","1","1","9.69 (6.87, 13.66)"
"LIP SWELLING","Ioversol","LIP SWELLING","唇部肿胀","Gastrointestinal disorders","胃肠系统疾病","49","49","3223","31533","19871674","3272","31582","19906479","9.58","7.22","12.71","9.45","370.36","3.24","2.95","5.1911","8.7","4.91","1","1","1","1","1","1","9.58 (7.22, 12.71)"
"CARDIO-RESPIRATORY ARREST","Ioversol","CARDIO-RESPIRATORY ARREST","心脏呼吸骤停","Cardiac disorders","心脏器官疾病","62","62","3210","40476","19862731","3272","40538","19906479","9.48","7.37","12.19","9.32","460.58","3.22","2.96","6.6632","8.73","4.98","1","1","1","1","1","1","9.48 (7.37, 12.19)"
"Nasal discomfort","Ioversol","Nasal discomfort","鼻部不适","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","11","11","3261","7633","19895574","3272","7644","19906479","8.79","4.86","15.9","8.77","75.6","3.13","2.53","1.2564","6.55","3.19","1","1","1","1","1","1","8.79 (4.86, 15.90)"
"TONGUE DISORDER","Ioversol","TONGUE DISORDER","舌病","Gastrointestinal disorders","胃肠系统疾病","10","10","3262","7010","19896197","3272","7020","19906479","8.7","4.68","16.19","8.68","67.85","3.12","2.48","1.1539","6.35","3.04","1","1","1","1","1","1","8.70 (4.68, 16.19)"
"Respiratory distress","Ioversol","Respiratory distress","呼吸窘迫","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","36","36","3236","26374","19876833","3272","26410","19906479","8.38","6.04","11.65","8.3","231.24","3.05","2.72","4.341","7.54","4.19","1","1","1","1","1","1","8.38 (6.04, 11.65)"
"POST PROCEDURAL COMPLICATION","Ioversol","POST PROCEDURAL COMPLICATION","操作后并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","25","25","3247","18598","19884609","3272","18623","19906479","8.23","5.55","12.2","8.18","157.41","3.03","2.63","3.061","7.16","3.87","1","1","1","1","1","1","8.23 (5.55, 12.20)"
"PRURITUS","Ioversol","PRURITUS","瘙痒","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","416","416","2856","349446","19553761","3272","349862","19906479","8.15","7.35","9.03","7.24","2275.2","2.85","2.75","57.5063","7.18","4.24","1","1","1","1","1","1","8.15 (7.35, 9.03)"
"Swollen tongue","Ioversol","Swollen tongue","肿舌","Gastrointestinal disorders","胃肠系统疾病","39","39","3233","29733","19873474","3272","29772","19906479","8.06","5.88","11.06","7.98","238.1","2.99","2.67","4.8936","7.32","4.09","1","1","1","1","1","1","8.06 (5.88, 11.06)"
"Pallor","Ioversol","Pallor","苍白","Vascular disorders","血管与淋巴管类疾病","34","34","3238","26249","19876958","3272","26283","19906479","7.95","5.67","11.15","7.88","204.21","2.98","2.63","4.3201","7.16","3.96","1","1","1","1","1","1","7.95 (5.67, 11.15)"
"Blood pressure decreased","Ioversol","Blood pressure decreased","血压降低","Investigations","各类检查","80","80","3192","63199","19840008","3272","63279","19906479","7.87","6.3","9.82","7.7","467.28","2.94","2.72","10.4011","7.38","4.25","1","1","1","1","1","1","7.87 (6.30, 9.82)"
"Mouth swelling","Ioversol","Mouth swelling","口肿胀","Gastrointestinal disorders","胃肠系统疾病","7","7","3265","5419","19897788","3272","5426","19906479","7.87","3.75","16.53","7.86","41.85","2.97","2.22","0.8919","5.39","2.4","1","1","1","1","1","1","7.87 (3.75, 16.53)"
"Sensation of foreign body","Ioversol","Sensation of foreign body","异物感","General disorders and administration site conditions","全身性疾病及给药部位各种反应","10","10","3262","7794","19895413","3272","7804","19906479","7.83","4.2","14.56","7.8","59.27","2.96","2.33","1.2827","5.89","2.82","1","1","1","1","1","1","7.83 (4.20, 14.56)"
"UNRESPONSIVE TO STIMULI","Ioversol","UNRESPONSIVE TO STIMULI","刺激反应消失","Nervous system disorders","各类神经系统疾病","31","31","3241","24347","19878860","3272","24378","19906479","7.81","5.48","11.13","7.75","182.09","2.95","2.59","4.007","6.99","3.84","1","1","1","1","1","1","7.81 (5.48, 11.13)"
"Ocular hyperaemia","Ioversol","Ocular hyperaemia","眼充血","Eye disorders","眼器官疾病","54","54","3218","43436","19859771","3272","43490","19906479","7.67","5.86","10.04","7.56","307.8","2.92","2.64","7.1484","7.13","4.04","1","1","1","1","1","1","7.67 (5.86, 10.04)"
"Pruritus generalised","Ioversol","Pruritus generalised",,,,"27","27","3245","21561","19881646","3272","21588","19906479","7.67","5.25","11.21","7.62","155.19","2.93","2.54","3.5484","6.79","3.69","1","1","1","1","1","1","7.67 (5.25, 11.21)"
"Toxic skin eruption","Ioversol","Toxic skin eruption","中毒性皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","12","12","3260","9656","19893551","3272","9668","19906479","7.58","4.3","13.37","7.56","68.25","2.92","2.34","1.5891","5.98","2.96","1","1","1","1","1","1","7.58 (4.30, 13.37)"
